img_id,file_name,n_pred,n_gt,tp,fp,fn,fn_small,fn_med,fn_large,fp_high,fp_med,fp_low,primary,fn_prefix
5132,005132.jpg,5,3,1,4,2,2,0,0,0,0,4,missed_small,005
5295,005295.jpg,3,3,1,2,2,2,0,0,0,1,1,missed_small,005
4362,004362.jpg,7,5,2,5,3,2,1,0,0,3,2,missed_small,004
6442,006442.jpg,2,4,1,1,3,3,0,0,0,0,1,missed_small,006
2960,002960.jpg,3,3,1,2,2,2,0,0,0,1,1,missed_small,002
2907,002907.jpg,2,4,1,1,3,3,0,0,0,0,1,missed_small,002
6731,006731.jpg,2,4,1,1,3,3,0,0,0,0,1,missed_small,006
5155,005155.jpg,4,2,1,3,1,1,0,0,0,2,1,missed_small,005
59,000059.jpg,3,3,1,2,2,2,0,0,0,1,1,missed_small,000
1468,001468.jpg,3,2,1,2,1,1,0,0,0,2,0,missed_small,001
1384,001384.jpg,3,2,1,2,1,1,0,0,0,0,2,missed_small,001
5587,005587.jpg,2,3,1,1,2,2,0,0,0,0,1,missed_small,005
2501,002501.jpg,2,3,1,1,2,2,0,0,0,1,0,missed_small,002
6384,006384.jpg,3,2,1,2,1,1,0,0,0,0,2,missed_small,006
6752,006752.jpg,2,3,1,1,2,2,0,0,1,0,0,missed_small,006
4698,004698.jpg,1,4,1,0,3,3,0,0,0,0,0,missed_small,004
2207,002207.jpg,2,3,1,1,2,2,0,0,0,0,1,missed_small,002
3112,003112.jpg,6,4,2,4,2,2,0,0,1,2,1,missed_small,003
2911,002911.jpg,3,2,1,2,1,1,0,0,1,1,0,missed_small,002
5970,005970.jpg,7,7,3,4,4,4,0,0,1,2,1,missed_small,005
3460,003460.jpg,6,3,2,4,1,1,0,0,1,3,0,missed_small,003
6716,006716.jpg,6,3,2,4,1,1,0,0,1,2,1,missed_small,006
6398,006398.jpg,4,5,2,2,3,3,0,0,0,2,0,missed_small,006
5372,005372.jpg,5,4,2,3,2,2,0,0,0,1,2,missed_small,005
4250,004250.jpg,7,6,3,4,3,3,0,0,0,2,2,missed_small,004
2096,002096.jpg,2,2,1,1,1,1,0,0,0,0,1,missed_small,002
3146,003146.jpg,2,2,1,1,1,1,0,0,0,1,0,missed_small,003
4849,004849.jpg,3,5,2,1,3,3,0,0,0,0,1,missed_small,004
2644,002644.jpg,5,3,2,3,1,1,0,0,1,1,1,missed_small,002
2428,002428.jpg,5,3,2,3,1,1,0,0,1,2,0,missed_small,002
4662,004662.jpg,5,3,2,3,1,1,0,0,1,1,1,missed_small,004
6583,006583.jpg,4,4,2,2,2,2,0,0,0,1,1,missed_small,006
4108,004108.jpg,6,2,2,4,0,0,0,0,0,2,2,overdetection,004
2245,002245.jpg,5,3,2,3,1,1,0,0,0,3,0,missed_small,002
2811,002811.jpg,3,5,2,1,3,3,0,0,0,0,1,missed_small,002
3537,003537.jpg,5,3,2,3,1,1,0,0,1,1,1,missed_small,003
6470,006470.jpg,2,2,1,1,1,1,0,0,0,1,0,missed_small,006
4524,004524.jpg,4,4,2,2,2,2,0,0,1,0,1,missed_small,004
2762,002762.jpg,6,6,3,3,3,3,0,0,0,2,1,missed_small,002
2034,002034.jpg,5,3,2,3,1,1,0,0,0,2,1,missed_small,002
2404,002404.jpg,2,2,1,1,1,1,0,0,0,0,1,missed_small,002
4942,004942.jpg,2,2,1,1,1,1,0,0,0,0,1,missed_small,004
4050,004050.jpg,3,5,2,1,3,3,0,0,0,0,1,missed_small,004
6358,006358.jpg,7,5,3,4,2,2,0,0,1,2,1,missed_small,006
5234,005234.jpg,4,4,2,2,2,2,0,0,0,0,2,missed_small,005
494,000494.jpg,4,4,2,2,2,2,0,0,1,0,1,missed_small,000
2940,002940.jpg,7,9,4,3,5,5,0,0,1,1,1,missed_small,002
1026,001026.jpg,4,4,2,2,2,2,0,0,0,1,1,missed_small,001
6754,006754.jpg,6,6,3,3,3,3,0,0,1,2,0,missed_small,006
758,000758.jpg,6,5,3,3,2,2,0,0,1,1,1,missed_small,000
